id,grid_code,geometry_wkt,ocean_fraction,orbit_state,datetime,product_type
BIO_S1_SCS__1S_20251122T202616_20251122T202630_T_G01_M01_C01_T028_F032_01_DJY9M0,WRS-28-32,"POLYGON ((134.63268 36.090473, 133.96378 35.9452, 134.24953 35.068493, 134.91078 35.21235, 134.63268 36.090473))",0.477662916089446,ascending,2025-11-22T20:26:16.241Z,S1_SCS__1S
BIO_S1_SCS__1S_20251122T203332_20251122T203353_T_G01_M01_C01_T028_F055_01_DJYAPQ,WRS-28-55,"POLYGON ((121.05378 62.176937, 119.93096 61.941437, 121.01746 60.767727, 122.10362 60.99508, 121.05378 62.176937))",0.0,ascending,2025-11-22T20:33:32.530Z,S1_SCS__1S
BIO_S1_SCS__1S_20251122T203235_20251122T203256_T_G01_M01_C01_T028_F052_01_DJYAPI,WRS-28-52,"POLYGON ((123.781204 58.921726, 122.75855 58.708168, 123.66139 57.51522, 124.65279 57.72226, 123.781204 58.921726))",1.1102230246251565e-16,ascending,2025-11-22T20:32:35.635Z,S1_SCS__1S
BIO_S1_SCS__1S_20251122T203119_20251122T203140_T_G01_M01_C01_T028_F048_01_DJYARP,WRS-28-48,"POLYGON ((126.73318 54.512123, 125.81561 54.320057, 126.54494 53.10882, 127.43725 53.295914, 126.73318 54.512123))",2.220446049250313e-16,ascending,2025-11-22T20:31:19.769Z,S1_SCS__1S
BIO_S1_SCS__1S_20251122T203023_20251122T203043_T_G01_M01_C01_T028_F045_01_DO1YB1,WRS-28-45,"POLYGON ((128.5833 51.155563, 127.73188 50.976376, 128.35745 49.778717, 129.18452 49.953175, 128.5833 51.155563))",0.0,ascending,2025-11-22T20:30:23.063Z,S1_SCS__1S
BIO_S1_SCS__1S_20251122T203254_20251122T203315_T_G01_M01_C01_T028_F053_01_DO1YOD,WRS-28-53,"POLYGON ((122.921814 59.99795, 121.86836 59.777626, 122.79177 58.6094, 123.821594 58.824802, 122.921814 59.99795))",-2.220446049250313e-16,ascending,2025-11-22T20:32:54.797Z,S1_SCS__1S
BIO_S1_SCS__1S_20251122T203041_20251122T203102_T_G01_M01_C01_T028_F046_01_DJYAQ1,WRS-28-46,"POLYGON ((127.99643 52.286114, 127.12338 52.10279, 127.78697 50.88454, 128.63733 51.063484, 127.99643 52.286114))",0.0,ascending,2025-11-22T20:30:41.835Z,S1_SCS__1S
BIO_S1_SCS__1S_20251122T203313_20251122T203334_T_G01_M01_C01_T028_F054_01_DNGYEF,WRS-28-54,"POLYGON ((122.01898 61.08398, 120.94722 60.859634, 121.93714 59.69911, 122.98998 59.919254, 122.01898 61.08398))",0.0,ascending,2025-11-22T20:33:13.761Z,S1_SCS__1S
BIO_S1_SCS__1S_20251122T203654_20251122T203721_T_G01_M01_C01_T028_F066_01_DJYARZ,WRS-28-66,"POLYGON ((103.33819 73.31821, 101.81208 72.9506, 105.24515 71.648094, 106.72385 71.99067, 103.33819 73.31821))",0.0,ascending,2025-11-22T20:36:54.874Z,S1_SCS__1S
BIO_S1_SCS__1S_20251122T203720_20251122T203740_T_G01_M01_C01_T028_F067_01_DJYASD,WRS-28-67,"POLYGON ((100.62819 74.21116, 99.08625 73.82614, 102.0469 72.865036, 103.56222 73.22916, 100.62819 74.21116))",0.0,ascending,2025-11-22T20:37:20.092Z,S1_SCS__1S
